lemma,wordforms
wohlverordnet,"wolverordneten,Wolverordneten,wolverordneter,wolverordnete,wohlverordneter,Wolverordneter,Wolverordnetem,wohlverordneten,wohlverordnetem,Wohlverordnete,wolverordnetem,Wohlverordneten,Wolveroꝛdneter,Wolveroͤrdneten,wolveroꝛdneten,Wolveroꝛdneten,wohlverordnet,wohlverordnete"
Jahr,"Jahres,Jahren,Jahr,Jar,Jahrs,Jahre,Jahꝛ,jahre,jahr,jahren,jaren,Jare,Jares,Jars,Jhar,Jaren,Jahꝛes,Jahꝛen,Jahꝛe,Jahrn,Jahꝛs,jahrs,jar,Jahrß,jahres,Johr,Jahrẽ,jare,JAHRES,jares,jahꝛ,jhar,jars,verjahren,Jahr',Jahrl,Jahr’,Jahr's,jahꝛes,jahrẽ,yaren,iaren,Jjar,Jaare,jâren,verjohren,jaaren,JAHR,Iahre,Jars’,Jair,JAHRE,jaar,jâr,Iahres,Iahren,Iahr,Jahr|,Jahrer,Jahrren,Johren,johre,jahrn,Jaͤhrs,Jaherren,jahrẽ,johr,iahre,iahren,iahr,iahres,Jahré,Jahren‘,Jaher,JAR,Jahrē,Verjahren,verjaren,jahꝛe,Jahr;,Johre,Jarre,jahr’,Jareh,J[ahren],J[ahre],J[ahre,J[ahres],J[ahr],J[ahrs],Jahre[n,Jahre〉,jahrē,Jharen,Jáhren,Jahre;,Iars,Jahreß,Jahre|,Jahrern,Jahr’n,Jahra,iares,hjahr,Jahrr,jharen,Iohr,Juhre,Jarres,jarres,JAHREN,JAhr,Jarē,jahꝛen,jarre,johra,jahrh,johren"
Johann,"Johann,JOHANN,Johañ,Johannn,Johañ,JOhann,Joohann"
gehören,"gehoͤret,gehoͤren,gehoͤꝛet,gehoͤrt,gehoͤre,Gehoͤrt,gehoͤrete,Gehoͤren,gehören,gehöret,gehoͤrten,gehort,Gehoͤret,gehohren,gehoͤrte,gehoren,gehoͤreſt,gehört,gehöꝛte,gehoͤꝛe,gehoͤꝛen,gehoͤꝛt,Gehoͤreſtu,gehoͤreſtu,gehoͤreten,obgehoͤret,gehoret,gehert,gehoͤrendt,gehöreten,gehörte,gehörten,gehöre,Gehören,gehörſt,gehörst,g’hört,g’hör,gehoͤrſt,g'hoͤrt,ghoͤr,g'hoͤrſt,Gehoͤrſt,gehoͤr',gehörts,gehoͤꝛte,gehoͤrẽ,gehörend,gehörent,ghoͤret,Gehört,gehört',gehoͤrts,Gehörſt,gehoͤrend,gehoͤr’t,gehoꝛt,gehoͤretẽ,gehohret,gehoͤhret,gehõret,gehuͤhret,gehörete,gerhoͤret,gehoͤhren,gehörteſt,gehörest,gehören;,gehoͤhre,gehoͤhrt,Gehöret,g'hört,g'hör,gehoͤrets,gehoͤr’,gehör',gehör’ſt,gehoͤrst,ghoͤrt,ghört,gehoͤrde,gehuͤhrend,Gehörts,gehör’,gehoͤrt;,gehiert,Gehörst,geho̊ren,gehoͤrt’,gehoͤrteſt,gehoͤrtet,gehoͤris,GEhoͤren,gehore,gehoͤrt’s,gehoͤꝛẽ,gehoꝛet,gehoꝛe,gehoꝛ,gehoꝛeten,gehöreſt,gehört's,gehõren,g’hoͤrt,gehoͤren;,g’hören,gehörtest,gehor,gehoͤrent,gehört’s,gehören(,gehürt,ge-hoͤrt,geherte,gehoeren,gehoͤri,gehõrt,g’hoͤrſtu,gehoͤrin,gehörſt',gehöre;,obgehoͤrt,obgehoͤrten,gehoͤrẽ,gehuͤret,gehoͤrſtu,gehoͤhrete,gehoͤrt’ſt"
mehr,"mehr,Mehr,mehres,mihr,mehꝛ,mer,Mehꝛ,meher,mehro,Mihr,Mair,mer’,Mer,Meher,mehero,Mehres,mêr,MEhr,Merr,mḗhr,mĕr,mēhr,mĕhr,mehr’,Mehr’,Meehr,mmer,merr,mehr,,mehr;,mèr,mehr‘,merh,mér,Mær,Meerr,Mehrr,m̃ehr,mair,Meerꝛ"
wohl,"wol,wohl,Wol,wolſt,woll,Wohl,wolEr,wolſtu,WohlEhr,Wol=,woler,Woll,WolEhr,WOl,Wolſt,Wolſtu,woller,wohler,allzuwol,obwolen,wohlen,wohln,wöhlen,woͤhlen,wōl,wōhl,wŏhl,wṓl,wól,wóhl,wohlſten,Wuhl,WOhl,wohlsten,wohle,wohll,woͤhl,wola,wohl’,wol’,wolſten,wolst,Wohll,Woͤhl,wo[l,wolsten,Wool,Wohles,wohl',wol',wuhl,woͤhler,wooll,Wohlſt,Woler,woͤhlſten,wolstu,wollerer,WOll,Wohlern,woł,Wohl',wol(,woͤhle,Wooller,wolſts,woles,wolhl"
lehren,"gelehret,lehrt,lehren,lehret,lehreſt,gelehrt,lehrten,lehrets,gelaͤhret,lehr,Lehret,geleret,gelaͤhrt,lehrete,lehreten,Gelehrt,lehꝛen,gelehꝛet,gelehꝛt,Lehꝛt,lehꝛet,lehrte,lehrteſt,Lehꝛet,Gelehret,leret,lehꝛ,lehꝛe,Lehreſt,Laert,lehꝛt,lert,lehꝛete,lehrent,gelert,lehrter,Gelert,Lehrt,lehrẽ,lehꝛn,lehꝛten,Laêrt,lehrſt,verlert,lehrend,lehrē,Lehreſtu,lehreſtu,lehrts,verlehrt,lehr',lehrtest,lehrst,Laird,lēhrte,lēhrt,lehr’,lehrt’,verlehren,laͤrt,Lehrte,lehr’t,gelehr’t,Laërt,lehre;,lehrén,laͤhret,lehrn,LEHRET,Laërte,lehrest,gelaͤrt,laͤhrt,lerte,gelaͤert,lehr’t),lehrtet,LAERT,gelehrt;,gelehrtd,Lehrten,lehꝛẽ,lehret’,Laerte,Lehren,lerten,Lehrſt,gelehet,Lehrts,Lehrt’,lehrt’s,LEhret,GElehret,Lehrete,Lehrert,lehr’n,lereſt,gelerth,lehꝛte,lehrẽ,Lehrt',lahren,lärt,gelerht,glehrt,lehrſtu,laͤhrete,laͤhrte,Lehrets,lehren;,lihr,gällert,Lehrend,loͤhren,lehrten's,laͤhren,lehrt’ſt"
wahrhaftig,"warhafftigem,warhafftiger,warhafftig,Warhafftig,Warhafftige,warhafftigen,warhaftiger,wahrhafftig,warhafftige,wahrhafftige,warhafftiglich,wahrhafftigem,warhafftigſten,wahrhafftigen,wahrhaftig,wahrhaftige,Warhafftiges,wahrhaftigen,warhaftig,Warhafftiger,warhafftiges,warhafftigin,wehrhafftig,Wahrhaftig,Warhafftigen,Warhaftig,wahrhafftiges,Wahrhafftig,wahrhaftiger,wahrhaftiges,wahrhafftiger,Warhafftigſte,wahrhafftigſte,warhaftigen,warhaftigē,wahrhafftigſten,warhafftigē,wahrhafftiglich,wahrhafftigere,Wahrhafftigen,wehrhafftigſte,Wehrhafftige,wehrhafftiger,warhaftige,warhaftiges,Wahrhaftiger,Wahrhaftige,wahrhāftig,wahrhaftigsten,warhaftiglich,Warhaftiger,allerwahrhaftigſte,warhafftigs,warhafftigẽ,warhafftigſte,allerwarhafftigſte,waͤrhafftig,Wahrhaftigen,Wahrhafftige,wehrhafftige,warhafftigers,waͤrhafftiger,waͤhrhafftigſten,waͤhrhafftiger,Wehrhafftigen,Wahrhaft’gen,wahrhaftch,wahrhoftig,Wahrhaftch,wahrhaft’ch,Wahrhoftig,werhaftiger,waͤhrhafftig,warhafftigere,wahrhaftigſten,wahrhaftigem,wahrhaftigste,waꝛhaftig,wahrhaͤftig,Wahrhafftigſtens,allerwahrhafftigſten,wehrhafftiges,Wehrhafftig,Warhaftige,warhaftigem,wahrhaftigſte,wahrhaftiglich,wahrhaftigs,warhafftigē,wärhaftiger,warhafftigste,waꝛhaftige,waarhafftig,wahꝛhafftig,wahrhaͤfftig,wahꝛhaftig,Warhaftigͤ,warhafftge,wehrhafftigen,waarhaftig,waͤhrhafftiglich"
nehmen,"nehme,nehmen,nimpt,nim,genommen,nemen,neme,nimmet,nahmen,nahm,nimbt,genom̃en,nimb,nam,nimbſt,nimmt,nimm’t,niempt,nimt,nehmet,nihmt,Nehmets,Nehmet,nehmt,nim̃t,nim̃ſt,Nehmen,nehm,Nemt,Nehmt,genohmmen,nim̃,Nim̃t,Genommen,Nemet,Nim,nemmen,genommẽ,nimm,nemet,nimmeſt,niemb,Niemb,ñehmen,Nimmeſtu,nehmẽ,nembt,nimmſt,Nimbt,Nimmet,Naͤhme,nahmeſt,genohmen,nihmet,nehmn,genom̄en,Nimpt,Genohmmen,nahmb,nemẽ,nihmmet,genom̃n,genomen,Nemen,Nehme,naͤhme,nim̃et,Nimbſtu,nahmn,namſt,Nimt,Nihmt,Nemmen,namb,genum̃en,genummen,nehmeſt,gnommen,genommn,nimet,nimbſtu,nimme,nem̃en,nem̃eſt,genomben,nehmben,nahmet,Nimb,nemmeſt,nimſtu,namet,nemme,nimmeſtu,nimſt,nemmet,Neme,genomẽ,Nemmet,genommeñ,Nimmt,nehm',Naͤhmen,nemt,genommmen,nahmſt,naͤhmt,namt,nimmst,Nimmſtu,nimmſtu,nehm’,Nehm,Nimm,uehmen,nähme,nehmend,nähmen,nahmt,Nimmst,nahmest,vergenommen,nah’m,nimms,nehm’t,Nehmeſtu,nemeſt,Nimmſt,naͤhm,Nimm',Nimms,naͤhmſt,g'nommen,nähm',nähmſt,nähm,nehmē,naͤhmen,nehmets,nehmẽ,Nimſtu,Nehmeht,Nim̃,Nehmts,naͤmen,genommens,nem̃e,nehmest,nimbst,nehmst,nahmst,Nemme,genohm̃en,nahm̃,nehm̃t,nihm̃t,vernahme,Nähme,Nehm',nāhm,nīmm,nimest,nim̄,nameſt,Genomen,genomm̃en,naͤhm’,naͤme,nem’t,nam̃,nympt,nym,nahmẽ,naͤhmeſt,naͤhmet,néhmen,néhmẽ,néhme,nim̄t,Nim̃et,neh-men,nähmest,nihmſt,Nimbſt,nim̃eſt,Nem̃et,nim̃ſtu,NJm,Nähm,Nahmſt,neh­men,nahm;,nimm',naͤhm',Nehm't,nimmb,zernommen,nim̃b,Naͤmen,Naͤhmt,naͤhmens,nahm’,genomm’n,Nim̃ſt,NEhmt,nehm`,nem̅en,nem̅e,genom̅en,nehmſte,Nehm’,Nähm’n,nähm’n,nim̃e,nihmen,genommen;,Nahmt,nähm’,Nehm’t,Nähmſt,nehmts,nehmt’,nuͤmmt,nuͤmmet,nuͤmt,nuͤmm,niembd,nümmt,nümmet,nümm,nehmeſtu,nim’t,nimt’,Nemb’t,nehmen;,nymbt,niembt,nimm’ſt,namſet,NEhmet,nahm',nehmſtu,Nimſt,Nahmeſt,nam’,NJmm,nim̃s,nimm̃,NJmmt,nehmste,Nehm’n,zernahm,zernahmen,zernahmſt,zernahmt,nahmts,zernehmeſt,zernehmet,nehmſt,zernehmt,zernehmts,zernimmſt,g'nómmen,genoͤmmen,nehmee,Nam̃,Nehmt’,Naͤhm,Nähmen,naͤhm’t,nim̃’t,Nem’t,Nimme,Nimmeſt,genõmen,nehmiſt,Nym,neemen,Nameſt,Namb,Nimm’,Nemeen,nambſet,nemmend,nahmert,genum̄en,nehme’,Németh,nimm’,genomm[e]n,nähmst,nohm,nähmt,NJmme,NJmb,nimst,nehmt’s,genumm'n,nähmeſt,nähmet,genommẽ,genomemn,nemẽ,Nim̃s,nehmeten,nem̄en,nembe,näme,Namſt,NJmſtu,genom̃ẽ,nihmſtu,Nim̄t,Nähmt,nímm,nähmens,nahm̄,Nemend,nämmä,ním,nůmmet,nuͤm,nuͤm̃t,nüm̃t,nuͤm̃et,nüm"
Sohn,"Sohn,Soͤhne,Sohnes,Soͤhnen,Sohns,Sohne,SOHN,Söhne,ſoͤhnen,ſohn,SOhn,Soͤhngen,Soͤne,Sone,Sons,Soͤhnes,ſoͤnen,ſohnes,Soͤnen,Sönen,Soͤhn',Söhnen,ſohns,Sun,sone,sohn,Sōhn,Sȫhne,sun,Söhn',Soͤhn’,ſun,Sohner,sohnes,Verſohners,ſoͤne,ſone,verſohen,Sohn’s,ſohen,Son',ſoͤnne,Söne,ſöhnen,söhnen,Verſohner,Sahns,Sohnnes,Sohn’,Sohns;,Soͤhnẽ,sönne,Söhngen,Sohn‛,Sœhne,Verſon,soͤhnen,Sohn',Sohn's"
